sekolah_id_enkrip,Nama_Sekolah,Provinsi,Kota_Kabupaten,Kecamatan,NPSN,Status,Bentuk_Pendidikan,Status_Kepemilikan,SK_Pendirian_Sekolah,Tanggal_SK_Pendirian,SK_Izin_Operasional,Tanggal_SK_Izin_Operasional,Kebutuhan_Khusus_Dilayani,Nama_Bank,Cabang_KCP_Unit,Rekening_Atas_Nama,Status_BOS,Waktu_Penyelenggaraan,Sertifikasi_ISO,Sumber_Listrik,Daya_Listrik,Kecepatan_Internet,Kepsek,Operator,Akreditasi,Kurikulum,Waktu,Alamat,RT_RW,Dusun,Desa_Kelurahan,Kode_Pos,Lintang,Bujur,Guru_L,Guru_P,Guru_Total,Tendik_L,Tendik_P,Tendik_Total,PTK_L,PTK_P,PTK_Total,Peserta_Didik_L,Peserta_Didik_P,Peserta_Didik_Total,Ruang_Kelas,Ruang_Perpus,Ruang_Lab,Ruang_Pratik,Rombel
B5E4E2D2A8552076D44D,SD NEGERI 114 PALEMBANG,Prov. Sumatera Selatan,Kota Palembang,Kec. Sukarami,10604269,Negeri,SD,Pemerintah Daerah,No 39 Tahun 2014,2014-09-10,No 39 Tahun 2014,2014-09-10,Tidak ada,Bank Sumsel Babel,Syariah Palembang,SD Negeri 114 Palembang,-,-,-,-,,,Nasron,"AGUS PRASETIAWAN, S. Pd",B,Kurikulum Merdeka,-,Jl. Sosial,16 / 3,,Suka Bangun,30151,-2,104,3,26,29,5,2,7,8,28,36,374,326,700,10,1,0,0,24
EF0C2282DA914CE5D5CB,SD NEGERI 115 PALEMBANG,Prov. Sumatera Selatan,Kota Palembang,Kec. Sukarami,10609401,Negeri,SD,Pemerintah Daerah,nomor 002 Tahun 0968,1958-08-01,No 39 Tahun 2014,2014-09-10,Tidak ada,Bank Sumsel Babel,Syariah Palembang,SD NEGERI 115 PALEMBANG,-,-,-,-,,,Mega Sari,MARTI SUGI HARTATI,B,Kurikulum Merdeka,-,Jl. Sukabangun II,26 / 4,,Suka Bangun,30151,-2,104,4,27,31,2,1,3,6,28,34,386,351,737,15,1,0,0,24
93A14738E18678DEB2B1,SD NEGERI 116 PALEMBANG,Prov. Sumatera Selatan,Kota Palembang,Kec. Sukarami,10604268,Negeri,SD,Pemerintah Daerah,No 39 Tahun 2014,2014-09-10,No 39 Tahun 2014,2014-09-10,Tidak ada,BPD SUMSEL dan BA...,BPD SUMSEL DAN BABEL SYARIAH CABANG SYARIAH PALEMBANG...,SDNEGERI116PALEMB...,-,-,-,-,,,Maznah Purnamawaty,,B,Kurikulum Merdeka,-,Jl. Padat Karya No.2431 Sukabangun,9 / 2,,Sukajaya,30151,-2,104,5,27,32,1,2,3,6,29,35,383,384,767,11,1,0,0,25
5E7B8F2D481C1BF63E4E,SD NEGERI 117 PALEMBANG,Prov. Sumatera Selatan,Kota Palembang,Kec. Sukarami,10604267,Negeri,SD,Pemerintah Daerah,No 39 Tahun 2014,2014-09-10,No 39 Tahun 2014,2014-09-10,Tidak ada,Bank Sumsel Babel,Syariah Palembang,SD Negeri 117 Palembang,-,-,-,-,,,Sukariyati,Arif Irawan,A,Kurikulum Merdeka,-,Jalan Sukabangun II Lorong Masjid Rt 35,35 / 0,-,Sukajaya,30151,-2,104,4,33,37,3,1,4,7,34,41,426,410,836,18,1,1,0,28
41855B57EB9A43186CA3,SD NEGERI 118 PALEMBANG,Prov. Sumatera Selatan,Kota Palembang,Kec. Sukarami,10604266,Negeri,SD,Pemerintah Daerah,No 22 Tahun 2014,2014-04-07,No 22 Tahun 2014,2014-04-07,Tidak ada,BANK SUMSEL BABEL,SYARIAH PALEMBANG,SDN 118 PALEMBANG,-,-,-,-,,,Nopiliasari,,B,Kurikulum Merdeka,-,Jl. Sukabangun II Suak Simpur,0 / 0,,Sukajaya,30151,-2,104,7,20,27,1,3,4,8,23,31,344,365,709,11,1,0,0,23
F3BEFDB2981B034A5D56,SD NEGERI 119 PALEMBANG,Prov. Sumatera Selatan,Kota Palembang,Kec. Sukarami,10609402,Negeri,SD,Pemerintah Daerah,No 39 Tahun 2014,2014-09-10,No 39 Tahun 2014,2014-09-10,Tidak ada,Bank Sumsel Babel,Syariah Palembang,SD Negeri 119 Palembang,-,-,-,-,,,Tati Suryani,Entik Ferostama,A,Kurikulum Merdeka,-,Jl. Gotong Royong Km. 12 Plg,4 / 1,Purwodadi,Sukodadi,30154,-2,104,5,26,31,2,3,5,7,29,36,420,404,824,16,1,0,0,25
D3BA0A9753C4020BD0CD,SD NEGERI 120 PALEMBANG,Prov. Sumatera Selatan,Kota Palembang,Kec. Sukarami,10604289,Negeri,SD,Pemerintah Pusat,1/07/1962,1962-07-01,No 39 Tahun 2014,2014-09-10,Tidak ada,Bank Sumsel Babel,SYARIAH PALEMBANG,SD Negeri 120 PALEMBANG,-,-,-,-,,,Yus Meri Yanti,Anna Latuny,B,Kurikulum Merdeka,-,Jl. Adisucipto Komp. TNI - AU,0 / 0,TALANG BETUTU,Talang Betutu,30155,-2,104,5,25,30,1,2,3,6,27,33,381,339,720,14,1,0,0,24
2F7C71A340C2CE85B7E4,SD NEGERI 121 PALEMBANG,Prov. Sumatera Selatan,Kota Palembang,Kec. Sukarami,10604288,Negeri,SD,Pemerintah Daerah,No 39 Tahun 2014,2014-09-10,No 39 Tahun 2014,2014-09-10,Tidak ada,BPD SUMSEL dan BA...,BPD SUMSEL DAN BABEL CABANG SYARIAH PALEMBANG...,SDNEGERI121PALEMB...,-,-,-,-,,,Dwi Kartika,MUHAMMAD SAMAN ALFIKI,C,Kurikulum Merdeka,-,Jl. Adi Sucipto,0 / 0,,Talang Betutu,30155,-2,104,6,20,26,1,3,4,7,23,30,299,224,523,10,1,0,0,19
4B109DEB8DE8A402DEDB,SD NEGERI 122 PALEMBANG,Prov. Sumatera Selatan,Kota Palembang,Kec. Sukarami,10604287,Negeri,SD,Pemerintah Pusat,No 39 Tahun 2014,2014-09-10,No 39 Tahun 2014,2014-09-10,Tidak ada,Bank Sumsel Babel,Syariah Palembang,SD Negeri 122 Palembang,-,-,-,-,,,Ade Indra Saputra,"Intan Rahmi, SH",B,Kurikulum Merdeka,-,Jl. Kartowinangun,25 / 9,Talang Betutu,Talang Betutu,30155,-2,104,9,25,34,1,2,3,10,27,37,501,506,1007,14,0,0,0,30
E59BFE06DC7400F6BDD8,SD NEGERI 123 PALEMBANG,Prov. Sumatera Selatan,Kota Palembang,Kec. Sukarami,10604286,Negeri,SD,Pemerintah Daerah,No 39 Tahun 2014,2014-09-10,No 39 Tahun 2014,2014-09-10,Tidak ada,BPD SUMSEL dan BABEL,SYARIAH PALEMBANG,SD NEGERI 123 PALEMB,-,-,-,-,,,Rosma Fitriya,Eka Agustina,B,Kurikulum Merdeka,-,Jl. Amd. Sugiwaras,8 / 2,,Talang Jambe,30155,-2,104,3,30,33,2,5,7,5,35,40,516,526,1042,8,1,1,0,32
